Test,%90,%95,%98,%99,%error,avg,count,max,median,min,stdev
HighFreqAND,33.0,43.0,54.0,69.0,0.032,13.000,7881,223,7,1,17.565
demo.queries,1263.0,1701.0,1711.0,1717.0,1.000,742.000,378,2101,606,403,364.732
