sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,378,743,607,1186,402,2108,1.0,6.240919297318716,387.67617401618844,366.85732733565425
TOTAL,378,743,607,1186,402,2108,1.0,6.240919297318716,387.67617401618844,366.85732733565425
