Response times in ms,HTTP Request
400,75.0
500,102.0
600,84.0
700,3.0
800,39.0
900,33.0
1000,3.0
1100,1.0
1300,1.0
1600,13.0
1700,20.0
1800,1.0
1900,2.0
2100,1.0
