sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,8046,13,8,33,1,209,0.03281133482475764,134.238713337115,10909.699544346866,17.270201306289614
TOTAL,8046,13,8,33,1,209,0.03281133482475764,134.238713337115,10909.699544346866,17.270201306289614
