Elapsed time,HTTP Request (failure),HTTP Request (success)
19:29:49.0,,1.0
19:29:50.0,4.0,40.0
19:29:51.0,,8.0
19:29:52.0,,32.0
19:29:53.0,,27.0
19:29:54.0,,32.0
19:29:55.0,,88.0
19:29:56.0,6.0,68.0
19:29:57.0,4.0,93.0
19:29:58.0,,61.0
19:29:59.0,,99.0
19:30:00.0,10.0,131.0
19:30:01.0,,112.0
19:30:02.0,10.0,140.0
19:30:03.0,,100.0
19:30:04.0,6.0,125.0
19:30:05.0,4.0,146.0
19:30:06.0,3.0,132.0
19:30:07.0,7.0,151.0
19:30:08.0,,130.0
19:30:09.0,10.0,99.0
19:30:10.0,,115.0
19:30:11.0,10.0,175.0
19:30:12.0,,143.0
19:30:13.0,10.0,152.0
19:30:14.0,,97.0
19:30:15.0,6.0,145.0
19:30:16.0,4.0,149.0
19:30:17.0,6.0,168.0
19:30:18.0,4.0,126.0
19:30:19.0,6.0,162.0
19:30:20.0,4.0,145.0
19:30:21.0,6.0,151.0
19:30:22.0,4.0,116.0
19:30:23.0,6.0,136.0
19:30:24.0,4.0,166.0
19:30:25.0,6.0,140.0
19:30:26.0,4.0,163.0
19:30:27.0,6.0,169.0
19:30:28.0,4.0,166.0
19:30:29.0,10.0,170.0
19:30:30.0,,170.0
19:30:31.0,10.0,156.0
19:30:32.0,,146.0
19:30:33.0,6.0,98.0
19:30:34.0,4.0,137.0
19:30:35.0,10.0,171.0
19:30:36.0,,139.0
19:30:37.0,10.0,161.0
19:30:38.0,,158.0
19:30:39.0,10.0,169.0
19:30:40.0,,149.0
19:30:41.0,10.0,154.0
19:30:42.0,,160.0
19:30:43.0,10.0,161.0
19:30:44.0,2.0,142.0
19:30:45.0,8.0,128.0
19:30:46.0,,156.0
19:30:47.0,10.0,157.0
19:30:48.0,3.0,149.0
19:30:49.0,7.0,152.0
