timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime
1374967411432,480,HTTP Request,200,OK,ThreadGroup 1-5,text,false,38963,6,6,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,475,1,1,0
1374967411352,611,HTTP Request,200,OK,ThreadGroup 1-3,text,false,60898,6,6,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,604,1,1,0
1374967411125,858,HTTP Request,200,OK,ThreadGroup 1-6,text,false,60651,6,6,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,851,1,1,0
1374967411474,569,HTTP Request,200,OK,ThreadGroup 1-4,text,false,16932,6,6,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,567,1,1,0
1374967411739,412,HTTP Request,200,OK,ThreadGroup 1-2,text,false,38965,6,6,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,409,1,1,0
1374967410637,1701,HTTP Request,200,OK,ThreadGroup 1-1,text,false,121439,6,6,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1692,1,1,0
1374967411992,603,HTTP Request,200,OK,ThreadGroup 1-6,text,false,24405,6,6,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,599,1,1,0
1374967412053,610,HTTP Request,200,OK,ThreadGroup 1-4,text,false,32359,6,6,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,605,1,1,0
1374967412162,575,HTTP Request,200,OK,ThreadGroup 1-2,text,false,82512,6,6,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,566,1,1,0
1374967411973,986,HTTP Request,200,OK,ThreadGroup 1-3,text,false,163109,6,6,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,974,1,1,0
1374967412673,478,HTTP Request,200,OK,ThreadGroup 1-4,text,false,38963,6,6,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,472,1,1,0
1374967412351,853,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60651,6,6,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,846,1,1,0
