sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,378,742,606,1192,403,2101,1.0,6.250723463363815,388.28520967001805,364.73196349624084
TOTAL,378,742,606,1192,403,2101,1.0,6.250723463363815,388.28520967001805,364.73196349624084
