Test,%90,%95,%98,%99,%error,avg,count,max,median,min,stdev
HighFreqAND,33.0,43.0,55.0,68.0,0.033,13.000,8083,276,7,1,19.300
demo.queries,1344.0,1700.0,1713.0,1726.0,1.000,743.000,380,1917,607,402,366.083
