sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,8083,13,7,33,1,276,0.03266114066559446,134.86501818667202,10998.113663962651,19.299830740727256
TOTAL,8083,13,7,33,1,276,0.03266114066559446,134.86501818667202,10998.113663962651,19.299830740727256
