timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime
1374967577422,3,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%281082998+AND+2455909%29&xid=jmeter,3,1,0,0
1374967577435,2,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%281955426+AND+1028625%29&xid=jmeter,2,1,0,0
1374967577447,3,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%282114639+AND+1856401%29&xid=jmeter,3,1,0,0
1374967577462,2,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%282573445+AND+1955943%29&xid=jmeter,2,1,0,0
1374967577474,2,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%281424895+AND+2489125%29&xid=jmeter,2,1,0,0
1374967577487,2,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%281082945+AND+2540525%29&xid=jmeter,2,1,0,0
1374967577500,2,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%281153005+AND+1121426%29&xid=jmeter,2,1,0,0
1374967577513,2,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%281239699+AND+1228002%29&xid=jmeter,2,1,0,0
1374967577526,2,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%282122658+AND+1963268%29&xid=jmeter,2,1,0,0
1374967577538,3,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=id%3A%282559387+AND+1135732%29&xid=jmeter,3,1,0,0
1374967577551,3,HTTP Request,400,ThreadGroup 1-1,text,false,826,1,1,http://adsate:9002/solr/select?q=author_facet_hier%3A%281%2FCo.%2C%2FCo.+AND+0%2FGovind%2C%29&xid=jmeter,3,1,1,0
1374967577564,2,HTTP Request,400,ThreadGroup 1-1,text,false,834,1,1,http://adsate:9002/solr/select?q=author_facet_hier%3A%281%2FCo.%2C%2FCo.+AND+0%2FGay-Lussac%2C%29&xid=jmeter,2,1,1,0
1374967577576,3,HTTP Request,400,ThreadGroup 1-1,text,false,860,1,1,http://adsate:9002/solr/select?q=author_facet_hier%3A%281%2FPhilip%2C%2FPhilip+AND+0%2FNguyen-Quang-Rieu%2C%29&xid=jmeter,3,1,1,0
1374967577589,3,HTTP Request,400,ThreadGroup 1-1,text,false,854,1,1,http://adsate:9002/solr/select?q=author_facet_hier%3A%281%2FRiazuddin%2C%2FRiazuddin+AND+0%2FWilckens%2C%29&xid=jmeter,3,1,1,0
1374967577602,44,HTTP Request,200,ThreadGroup 1-1,text,true,716001,1,1,http://adsate:9002/solr/select?q=copyright%3A%28by+AND+springer%29&xid=jmeter,7,1,0,0
1374967577847,17,HTTP Request,200,ThreadGroup 1-1,text,true,31031,1,1,http://adsate:9002/solr/select?q=copyright%3A%28geophysical+AND+geophysical%29&xid=jmeter,15,1,0,0
1374967577950,13,HTTP Request,200,ThreadGroup 1-1,text,true,58113,1,1,http://adsate:9002/solr/select?q=copyright%3A%282011+AND+2011%29&xid=jmeter,11,1,0,0
1374967578081,28,HTTP Request,200,ThreadGroup 1-1,text,true,314466,1,1,http://adsate:9002/solr/select?q=copyright%3A%28institute+AND+by%29&xid=jmeter,15,1,0,0
1374967578213,14,HTTP Request,200,ThreadGroup 1-1,text,true,159721,1,1,http://adsate:9002/solr/select?q=copyright%3A%28institute+AND+2011%29&xid=jmeter,8,1,0,0
1374967578336,28,HTTP Request,200,ThreadGroup 1-1,text,true,470632,1,1,http://adsate:9002/solr/select?q=copyright%3A%28physics+AND+springerverlag%29&xid=jmeter,6,1,0,0
1374967578448,20,HTTP Request,200,ThreadGroup 1-1,text,true,233426,1,1,http://adsate:9002/solr/select?q=copyright%3A%28springer-verlag+AND+american%29&xid=jmeter,12,1,0,0
1374967578515,67,HTTP Request,200,ThreadGroup 1-1,text,true,180448,1,1,http://adsate:9002/solr/select?q=copyright%3A%28springer+AND+springer-verlag%29&xid=jmeter,60,1,0,0
1374967578632,24,HTTP Request,200,ThreadGroup 1-1,text,true,387649,1,1,http://adsate:9002/solr/select?q=copyright%3A%28union+AND+by%29&xid=jmeter,11,1,0,0
1374967578739,15,HTTP Request,200,ThreadGroup 1-1,text,true,55730,1,1,http://adsate:9002/solr/select?q=copyright%3A%28institute+AND+physics%29&xid=jmeter,14,1,0,0
