Test,%90,%95,%98,%99,%error,avg,count,max,median,min,stdev
HighFreqAND,33.0,43.0,54.0,67.0,0.033,13.000,8046,209,8,1,17.270
demo.queries,1377.0,1704.0,1713.0,1892.0,1.000,743.000,378,2108,607,402,366.857
