sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,380,743,607,1344,402,1917,1.0,6.152949367703492,384.69937073948734,366.08264741290594
TOTAL,380,743,607,1344,402,1917,1.0,6.152949367703492,384.69937073948734,366.08264741290594
