timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1374967290569,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,31028,1,1,15,1,0,0
1374967290606,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,262015,1,1,7,1,0,0
1374967290646,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,440,1,1,7,1,0,0
1374967290685,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,421,1,1,4,1,0,0
1374967290705,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,4,1,0,0
1374967290726,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,7,1,0,0
1374967290742,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,3,1,0,0
1374967290763,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,4,1,0,0
1374967290781,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,5,1,0,0
1374967290807,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,421,1,1,3,1,0,0
1374967290825,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,4,1,0,0
1374967290841,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,3,1,0,0
1374967290852,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,3,1,0,0
1374967290874,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,3,1,0,0
1374967290908,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,3,1,0,0
1374967290927,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,3,1,0,0
1374967290938,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,5,1,0,0
1374967290960,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,5,1,0,0
1374967290987,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,3,1,0,0
1374967291000,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,7,1,0,0
1374967291022,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,5,1,0,0
1374967291043,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,422,1,1,7,1,0,0
1374967291058,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,5,1,0,0
1374967291080,26,HTTP Request,200,OK,ThreadGroup 1-1,text,true,703957,1,1,6,1,0,0
1374967291347,14,HTTP Request,200,OK,ThreadGroup 1-1,text,true,258612,1,1,7,1,0,0
1374967291402,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,34882,1,1,6,1,0,0
1374967291432,13,HTTP Request,200,OK,ThreadGroup 1-1,text,true,48594,1,1,11,1,0,0
1374967291471,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,83047,1,1,5,1,0,0
1374967291506,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,43253,1,1,7,1,0,0
1374967291550,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,365803,1,1,6,1,0,0
1374967291597,12,HTTP Request,200,OK,ThreadGroup 1-1,text,true,205593,1,1,7,1,0,0
1374967291634,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,71708,1,1,6,1,0,0
1374967291654,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,32227,1,1,6,1,0,0
1374967291672,9,HTTP Request,200,OK,ThreadGroup 1-1,text,true,62755,1,1,8,1,0,0
1374967291692,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,80860,1,1,6,1,0,0
1374967291714,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,87015,1,1,6,1,0,0
1374967291739,18,HTTP Request,200,OK,ThreadGroup 1-1,text,true,322972,1,1,6,1,0,0
1374967291779,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,62278,1,1,7,1,0,0
1374967291798,10,HTTP Request,200,OK,ThreadGroup 1-1,text,true,88644,1,1,8,1,0,0
1374967291820,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,114036,1,1,6,1,0,0
1374967291844,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,41955,1,1,7,1,0,0
1374967291862,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,53533,1,1,6,1,0,0
1374967291887,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,90276,1,1,6,1,0,0
1374967291908,44,HTTP Request,200,OK,ThreadGroup 1-1,text,true,32659,1,1,44,1,0,0
1374967291964,47,HTTP Request,200,OK,ThreadGroup 1-1,text,true,40599,1,1,47,1,0,0
1374967292024,40,HTTP Request,200,OK,ThreadGroup 1-1,text,true,122248,1,1,37,1,0,0
1374967292077,27,HTTP Request,200,OK,ThreadGroup 1-1,text,true,140560,1,1,24,1,0,0
1374967292119,33,HTTP Request,200,OK,ThreadGroup 1-1,text,true,25481,1,1,33,1,0,0
1374967292171,25,HTTP Request,200,OK,ThreadGroup 1-1,text,true,85310,1,1,23,1,0,0
1374967292214,34,HTTP Request,200,OK,ThreadGroup 1-1,text,true,43807,1,1,32,1,0,0
1374967292274,29,HTTP Request,200,OK,ThreadGroup 1-1,text,true,40394,1,1,28,1,0,0
1374967292315,31,HTTP Request,200,OK,ThreadGroup 1-1,text,true,35971,1,1,31,1,0,0
1374967292355,33,HTTP Request,200,OK,ThreadGroup 1-1,text,true,68589,1,1,31,1,0,0
1374967292401,44,HTTP Request,200,OK,ThreadGroup 1-1,text,true,179070,1,1,41,1,0,0
1374967292461,30,HTTP Request,200,OK,ThreadGroup 1-1,text,true,219042,1,1,25,1,0,0
1374967292503,29,HTTP Request,200,OK,ThreadGroup 1-1,text,true,219042,1,1,25,1,0,0
1374967292545,27,HTTP Request,200,OK,ThreadGroup 1-1,text,true,36647,1,1,27,1,0,0
1374967292585,30,HTTP Request,200,OK,ThreadGroup 1-1,text,true,35722,1,1,30,1,0,0
1374967292627,38,HTTP Request,200,OK,ThreadGroup 1-1,text,true,119108,1,1,36,1,0,0
1374967292679,13,HTTP Request,200,OK,ThreadGroup 1-1,text,true,398116,1,1,5,1,0,0
1374967292715,35,HTTP Request,200,OK,ThreadGroup 1-1,text,true,1127050,1,1,5,1,0,0
1374967292831,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,63342,1,1,4,1,0,0
1374967292850,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,48982,1,1,4,1,0,0
1374967292864,9,HTTP Request,200,OK,ThreadGroup 1-1,text,true,252539,1,1,4,1,0,0
1374967292889,28,HTTP Request,200,OK,ThreadGroup 1-1,text,true,843919,1,1,7,1,0,0
1374967292973,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,4,1,0,0
1374967292986,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,4,1,0,0
1374967292982,10,HTTP Request,200,OK,ThreadGroup 1-1,text,true,225375,2,2,5,1,0,0
1374967292998,2,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,2,1,0,0
1374967293009,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,435,2,2,5,1,0,0
1374967293021,14,HTTP Request,200,OK,ThreadGroup 1-1,text,true,109425,2,2,5,1,0,0
1374967293015,22,HTTP Request,200,OK,ThreadGroup 1-2,text,true,580727,2,2,6,1,0,0
1374967293065,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,4,1,0,0
1374967293076,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,3,1,0,0
1374967293047,14,HTTP Request,200,OK,ThreadGroup 1-1,text,true,439107,2,2,4,1,0,0
1374967293097,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,164015,2,2,5,1,0,0
1374967293085,15,HTTP Request,200,OK,ThreadGroup 1-2,text,true,593865,2,2,4,1,0,0
1374967293131,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,24591,2,2,4,1,0,0
1374967293139,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,3,1,0,0
1374967293144,11,HTTP Request,200,OK,ThreadGroup 1-1,text,true,418,2,2,11,1,0,0
1374967293148,12,HTTP Request,200,OK,ThreadGroup 1-2,text,true,417,2,2,12,1,0,0
1374967293162,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,417,2,2,8,1,0,0
1374967293177,11,HTTP Request,200,OK,ThreadGroup 1-1,text,true,418,2,2,11,1,0,0
1374967293169,21,HTTP Request,200,OK,ThreadGroup 1-2,text,true,26721,2,2,20,1,0,0
